Address; Name; Size
"$ 064E2"; ""; "1x1"
"$ 064E4"; "Codeword Customer: Electric Thermostat"; "1x1"
"$ 064E6"; "Codeword customer: EV of Cyl. 1"; "1x1"
"$ 064E8"; "Codeword customer: EV of Cyl. 2"; "1x1"
"$ 064EA"; "Codeword customer: EV of Cyl. 3"; "1x1"
"$ 064EC"; "Codeword customer: EV of Cyl. 4"; "1x1"
"$ 064EE"; "Codeword customer: EV of Cyl. 5"; "1x1"
"$ 064F0"; "Codeword customer: EV of Cyl. 6"; "1x1"
"$ 064F2"; "Codeword customer: EV of Cyl. 7"; "1x1"
"$ 064F4"; "Codeword customer: EV of Cyl. 8"; "1x1"
"$ 064F6"; "Codeword customer: Poti 1, accelerator pedal"; "1x1"
"$ 064F8"; "Codeword customer: Poti 2, accelerator pedal"; "1x1"
"$ 064FA"; "Codeword customer: Poti accelerator pedal"; "1x1"
"$ 064FC"; "Codeword customer: LR adaptation multi. Upper threshold"; "1x1"
"$ 064FE"; "Codeword customer: LR adaptation mult. Or range"; "1x1"
"$ 06500"; "Codeword customer: LR adaptation multi. Lower threshold"; "1x1"
"$ 06502"; "Codeword customer: LR adaptation mult. Lower threshold bank 2"; "1x1"
"$ 06504"; "Codeword customer: LR deviation"; "1x1"
"$ 06506"; "Codeword Customer: LR Deviation Bank 2"; "1x1"
"$ 06508"; "Codeword customer: Lambda sensor heater behind catalytic converter"; "1x1"
"$ 0650A"; "Codeword Customer: Lambda Sensor Heater behind Catalyst, Bank 2"; "1x1"
"$ 0650C"; "Codeword customer: Lambda probe heater in front of catalytic converter"; "1x1"
"$ 0650E"; "Codeword customer: Lambda probe heating in front of catalyst, Bank 2"; "1x1"
"$ 06510"; "Codeword Customer: Catalyst Conversion"; "1x1"
"$ 06512"; "Codeword Customer: Catalyst Conversion (Bank 2)"; "1x1"
"$ 06514"; "Codeword Customer: Fuel Cycle Switching Power Amplifier"; "1x1"
"$ 06516"; "Codeword Customer: Air Conditioning Compressor Control"; "1x1"
"$ 06518"; "Codeword customer: EKP relay power amplifier"; "1x1"
"$ 0651A"; "Codeword customer: knock control zero test"; "1x1"
"$ 0651C"; "codeword customer: knock control offset"; "1x1"
"$ 0651E"; "Codeword customer: knock control test pulse"; "1x1"
"$ 06520"; "Codeword customer: knock sensor 1"; "1x1"
"$ 06522"; "Codeword customer: knock sensor 2"; "1x1"
"$ 06524"; "Codeword customer: knock sensor 3"; "1x1"
"$ 06526"; "Codeword customer: knock sensor 4"; "1x1"
"$ 06528"; "Codeword customer: pedal encoder clutch"; "1x1"
"$ 0652A"; "Codeword customer: Lambda probe aging behind Cat."; "1x1"
"$ 0652C"; "Codeword customer: Lambda probe aging behind Cat. (Bank 2)"; "1x1"
"$ 0652E"; "Codeword customer: Lambda probe aging TP"; "1x1"
"$ 06530"; "Codeword customer: Lambda probe aging TP (Bank 2)"; "1x1"
"$ 06532"; "Codeword customer: Lambda probe aging TV"; "1x1"
"$ 06534"; "Codeword customer: Lambda probe aging TV (Bank 2)"; "1x1"
"$ 06536"; "Codeword Customer: Boost Control Valve (Power Amplifier)"; "1x1"
"$ 06538"; "Codeword customer: Leak diagnosis pump"; "1x1"
"$ 0653A"; "Codeword customer: Leak diagnosis pump power amplifier"; "1x1"
"$ 0653C"; "Codeword customer: idle control at the stop"; "1x1"
"$ 0653E"; "Codeword customer: LMM / HLM / HFM"; "1x1"
"$ 06540"; "Codeword customer: lambda probe behind Kat"; "1x1"
"$ 06542"; "Codeword customer: Lambda probe 2 behind Kat"; "1x1"
"$ 06544"; "Codeword customer: Lambda probe before Kat"; "1x1"
"$ 06546"; "Codeword customer: Lambda probe 2 before Kat"; "1x1"
"$ 06548"; "Codeword customer: Swapped Lambda probes before Kat"; "1x1"
"$ 0654A"; "Codeword customer: Amplifier fan A"; "1x1"
"$ 0654C"; "Codeword Customer: EV Air Circulation Valve Power Amplifier"; "1x1"
"$ 0654E"; "codeword customer: misfire, sum error (multiple)"; "1x1"
"$ 06550"; "Codeword customer: dropouts Cyl. 1"; "1x1"
"$ 06552"; "Codeword Customer: Misfire Cylinder 2"; "1x1"
"$ 06554"; "Codeword customer: Misfire Cylinder 3"; "1x1"
"$ 06556"; "Codeword customer: misfire cylinder 4"; "1x1"
"$ 06558"; "Codeword customer: misfire cylinder 5"; "1x1"
"$ 0655A"; "Codeword customer: misfire cylinder 6"; "1x1"
"$ 0655C"; "Codeword customer: misfire cylinder 7"; "1x1"
"$ 0655E"; "Codeword Customer: Misfire Cylinder 8"; "1x1"
"$ 06560"; "Codeword Customer: Torque limitation target torque"; "1x1"
"$ 06,562"; ""; "1x1"
"$ 06564"; "Codeword Customer: Speed ??Sensor"; "1x1"
"$ 06566"; "Codeword customer: Camshaft control"; "1x1"
"$ 06568"; "Codeword Customer: Camshaft Control (Bank 2)"; "1x1"
"$ 0656A"; "Codeword Customer: Camshaft Control Valve Power Amplifier"; "1x1"
"$ 0656C"; "Codeword Customer: Camshaft Timing Valve (Power Bank 2)"; "1x1"
"$ 0656E"; "codeword customer: phase sensor"; "1x1"
"$ 06570"; "Codeword customer: Phase sensor 2"; "1x1"
"$ 06572"; "Codeword customer: LR adaptation per time"; "1x1"
"$ 06574"; "Codeword customer: LR adaptation per time Bank 2"; "1x1"
"$ 06576"; "Codeword customer: LR adaptation additively per ignition"; "1x1"
"$ 06578"; "Codeword Customer: Lambda Control Adaption Fuel (Bank 2)"; "1x1"
"$ 0657A"; "Codeword customer: secondary air pump (power amplifier)"; "1x1"
"$ 0657C"; "Codeword customer: secondary air system"; "1x1"
"$ 0657E"; "Codeword Customer: Secondary Air System Bank 2"; "1x1"
"$ 06580"; "Codeword Customer: Secondary Air Valve"; "1x1"
"$ 06582"; "Codeword Customer: Secondary Air Valve Bank 2"; "1x1"
"$ 06584"; "Codeword Customer: Secondary Air Valve (Power Amplifier)"; "1x1"
"$ 06586"; "Codeword customer: automatic start" "1x1"
"$ 06588"; "Codeword customer: automatic start (power amplifier)"; "1x1"
"$ 0658A"; "codeword customer: start signal"; "1x1"
"$ 0658C"; "Codeword customer: bad path detection acceleration sensor"; "1x1"
"$ 0658E"; "Codeword customer: TANS"; "1x1"
"$ 06590"; "Codeword customer: tank ventilation system"; "1x1"
"$ 06592"; "Code word customer: tank vent system clogged pipe"; "1x1"
"$ 06594"; "Codeword Customer: Tank Bleeding System Feinleck"; "1x1"
"$ 06596"; "Codeword customer: Tank Bleeding System Kleinstleck"; "1x1"
"$ 06598"; "Codeword Customer: Tank Vent Valve"; "1x1"
"$ 0659A"; "Codeword Customer: Tank Bleeder Valve Power Bank 2"; "1x1"
"$ 0659C"; "Code word customer: temperature at the radiator outlet"; "1x1"
"$ 0659E"; "codeword customer: TMOT"; "1x1"
"$ 065A0"; "Codeword Customer: Ambient Temperature"; "1x1"
"$ 065A2"; "Codeword Customer: UB"; "1x1"
"$ 065A4"; "Codeword customer: Function monitoring: Torque comparison"; "1x1"
"$ 065A6"; "Codeword Customer: Function Monitoring: Safety Fuel Shutdown"; "1x1"
"$ 065A8"; "Codeword customer: Computer monitoring: RAM"; "1x1"
"$ 065AA"; "Codeword customer: Computer monitoring: ROM"; "1x1"
"$ 065AC"; "Codeword customer: Computer monitoring: Reset"; "1x1"
"$ 065AE"; "Codeword Customer: Vehicle Speed"; "1x1"
"$ 065B0"; "Codeword Customer: Immobilizer Removable Code File"; "1x1"
"$ 065B2"; "Codeword Customer: Immobilizer"; "1x1"
"$ 065B4"; "Dummy: Table Ending"; "1x1"
"$ 01EE9"; "Deactivate codeword DLLR (EURO coding), CD .. = 0 -> no diagnostics"; "1x1"
"$ 01EEA"; "Lambda probe aging diagnosis code word, config-byte, for application purposes"; "1x1"
"$ 01EEB"; "Codeword probe diagnosis behind Kat in OBDII mode (inverse: Europa-Mode)"; "1x1"
"$ 01EEC"; "Codeword probe diagnosis before CAT in OBDII mode (inverse: Europe-Mode)"; "1x1"
"$ 0014F"; "Codeword diagnosis reversed probes before cat in OBDII mode (inverse: Europa-Mode)"; "1x1"
"$ 01EED"; "Disable codeword DMD (EURO coding), CD .. = 0 -> no diagnostics"; "1x1"
"$ 0A52E"; ""; "1x1"
"$ 01EEE"; "Deactivate codeword DNWS (EURO coding), CD .. = 0 -> no diagnostics"; "1x1"
"$ 01EEF"; "Euro byte for diagnostic secondary air system"; "1x1"
"$ 02347"; "Deactivate code word DSWE (EURO coding), CD .. = 0 -> no diagnosis"; "1x1"
"$ 065B6"; ""; "1x1"
"$ 065B8"; "Codeword Tester: Check Valve Activated Carbon Filter (Fkt)"; "1x1"
"$ 065BA"; "Codeword Tester: ACC"; "1x1"
"$ 065BC"; "Codeword Tester: Monitoring EGR Power Amplifier"; "1x1"
"$ 065BE"; "Codeword Tester: Monitoring AGR-FLOW"; "1x1"
"$ 065C0"; "Codeword Tester: exhaust valve power amplifier"; "1x1"
"$ 065C2"; "Codeword Tester: ASR - Intervention"; "1x1"
"$ 065C4"; "Codeword Tester: Reference Marker"; "1x1"
"$ 065C6"; "Error Path Code: BRAKE (Brake Switch)"; "1x1"
"$ 065C8"; "Codeword Tester: PWG motion"; "1x1"
"$ 065CA"; "Codeword Tester: CAN Interface, Timeout ACC"; "1x1"
"$ 065CC"; "Codeword Tester: CAN Interface, Timeout ASC"; "1x1"
"$ 065CE"; "Codeword Tester: CAN Interface, Timeout EGS"; "1x1"
"$ 065D0"; "Codeword Tester: CAN Timeout, Instruments"; "1x1"
"$ 065D2"; "Codeword Tester: DK - Potentiometer"; "1x1"
"$ 065D4"; "Codeword Tester: Throttle 1. Poti"; "1x1"
"$ 065D6"; "Codeword Tester: Throttle Pot 2"; "1x1"
"$ 065D8"; "Codeword Tester: Pressure Sensor Boost Pressure"; "1x1"
"$ 065DA"; "Codeword Tester: Suction Pipe Pressure Sensor"; "1x1"
"$ 065DC"; "Codeword Tester: Pressure Sensor Environment"; "1x1"
"$ 065DE"; ""; "1x1"
"$ 065E0"; "Codeword Tester: DV-E power amp"; "1x1"
"$ 065E2"; "Codeword Tester: DV-E Feather Check Error"; "1x1"
"$ 065E4"; "Codeword Tester: DV-E Position Deviation"; "1x1"
"$ 065E6"; "Codeword Tester: DV-E Error Checking Emergency Position"; "1x1"
"$ 065E8"; "Codeword Tester: DV-E Control Range"; "1x1"
"$ 065EA"; "Codeword Tester: DV-E Errors in UMA Learning"; "1x1"
"$ 065EC"; "Codeword Tester: DV-E Error in Amplifier Matching"; "1x1"
"$ 065EE"; "Codeword Tester: Anti-Theft Alarm System"; "1x1"
"$ 065F0"; ""; "1x1"
"$ 065F2"; "Codeword Tester: Electric Thermostat"; "1x1"
"$ 065F4"; "Codeword Tester: EV of Cyl. 1"; "1x1"
"$ 065F6"; "Codeword Tester: EV of Cyl 2"; "1x1"
"$ 065F8"; "Codeword Tester: EV of Cyl. 3"; "1x1"
"$ 065FA"; "Codeword Tester: EV of Cyl 4"; "1x1"
"$ 065FC"; "Codeword Tester: EV of Cyl. 5"; "1x1"
"$ 065FE"; "Codeword Tester: EV of Cyl. 6"; "1x1"
"$ 06600"; "Codeword Tester: EV of Cyl. 7"; "1x1"
"$ 06602"; "Codeword Tester: EV of Cyl. 8"; "1x1"
"$ 06604"; "Codeword Tester: Poti 1, accelerator pedal"; "1x1"
"$ 06606"; "Codeword Tester: Poti 2, accelerator pedal"; "1x1"
"$ 06608"; "Codeword Tester: Poti accelerator pedal"; "1x1"
"$ 0660A"; "Codeword Tester: LR-adaption multiplicativ upper threshold"; "1x1"
"$ 0660C"; "Codeword Tester: LR-adaption multiplicativ upper threshold bank 2"; "1x1"
"$ 0660E"; "Codeword Tester: LR-adaption multiplicativ lower threshold"; "1x1"
"$ 06610"; "Codeword Tester: LR-adaption multiplicativ lower threshold bank 2"; "1x1"
"$ 06612"; "Codeword Tester: LR Deviation"; "1x1"
"$ 06614"; "Codeword Tester: LR Deviation Bank 2"; "1x1"
"$ 06616"; "Codeword Tester: Lambda probe heater behind catalyst"; "1x1"
"$ 06618"; "Codeword Tester: Lambda Probe Heater behind Cat., Bank 2"; "1x1"
"$ 0661A"; "Codeword Tester: Lambda probe heating in front of catalytic converter"; "1x1"
"$ 0661C"; "Codeword Tester: Lambda probe heating before Cat., Bank 2"; "1x1"
"$ 0661E"; "Codeword Tester: Catalyst Conversion"; "1x1"
"$ 06620"; "Codeword Tester: Catalyst Conversion (Bank 2)"; "1x1"
"$ 06622"; "Codeword Tester: Fuel Cycle Switching Power Amplifier"; "1x1"
"$ 06624"; "Codeword Tester: Air Conditioning Compressor Control"; "1x1"
"$ 06626"; "Codeword Tester: EKP relay power amplifier"; "1x1"
"$ 06628"; "Codeword Tester: knock control zero test"; "1x1"
"$ 0662A"; "Codeword Tester: Knock Control Offset"; "1x1"
"$ 0662C"; "Codeword Tester: Knock Control Test Pulse"; "1x1"
"$ 0662E"; "Codeword Tester: Knock Sensor 1"; "1x1"
"$ 06630"; "Codeword Tester: Knock Sensor 2"; "1x1"
"$ 06632"; "Codeword Tester: Knock Sensor 3"; "1x1"
"$ 06634"; "Codeword Tester: Knock Sensor 4"; "1x1"
"$ 06636"; "Error Path Code: Pedal Encoder Clutch"; "1x1"
"$ 06638"; "Codeword Tester: Lambda probe aging behind Kat"; "1x1"
"$ 0663A"; "Codeword Tester: Lambda probe aging behind Cat. Bank2"; "1x1"
"$ 0663C"; "Codeword Tester: Lambda Probe Aging TP"; "1x1"
"$ 0663E"; "Codeword Tester: Lambda Probe Aging TP (Bank 2)"; "1x1"
"$ 06640"; "Codeword Tester: Lambda probe aging TV"; "1x1"
"$ 06642"; "Codeword Tester: Lambda probe aging TV (Bank 2)"; "1x1"
"$ 06644"; "Codeword Tester: Boost Control Valve (Power Amplifier)"; "1x1"
"$ 06646"; "Codeword Tester: Tank Bleed; Leakage Diagnostic Pump"; "1x1"
"$ 06648"; "Codeword Tester: Leak Diagnostic Pump Power Amplifier"; "1x1"
"$ 0664A"; "Codeword Tester: idle control at the stop"; "1x1"
"$ 0664C"; "Codeword Tester: LMM / HLM / HFM"; "1x1"
"$ 0664E"; "Codeword Tester: Lambda probe behind Kat"; "1x1"
"$ 06650"; "Codeword Tester: Lambda probe 2 behind Kat"; "1x1"
"$ 06652"; "Codeword Tester: Lambda probe before Kat"; "1x1"
"$ 06654"; "Codeword Tester: Lambda probe 2 before Kat"; "1x1"
"$ 06656"; "Codeword Tester: Replace Lambda Probe Before Cat"; "1x1"
"$ 06658"; "Codeword Tester: Power Amp Fan A"; "1x1"
"$ 0665A"; "Codeword Tester: EV Air Circulation Valve Power Amplifier"; "1x1"
"$ 0665C"; "Codeword Tester: Misfire, Sum Error (multiple)"; "1x1"
"$ 0665E"; "Codeword Tester: Dropout Cyl. 1"; "1x1"
"$ 06660"; "Codeword Tester: Misfire Cylinder 2"; "1x1"
"$ 06662"; "Codeword Tester: Misfire Cylinder 3"; "1x1"
"$ 06664"; "Codeword Tester: Misfire Cylinder 4"; "1x1"
"$ 06666"; "Codeword Tester: Misfire Cylinder 5"; "1x1"
"$ 06668"; "Codeword Tester: Misfire Cylinder 6"; "1x1"
"$ 0666A"; "Codeword Tester: Misfire Cylinder 7"; "1x1"
"$ 0666C"; "Codeword Tester: Misfire Cylinder 8"; "1x1"
"$ 0666E"; "Codeword Tester: Torque Limiting Torque"; "1x1"
"$ 06670"; "Codeword Tester: Multifunction Steering Wheel"; "1x1"
"$ 06672"; "Codeword Tester: Speed ??Sensor"; "1x1"
"$ 06674"; "Codeword Tester: Camshaft Control"; "1x1"
"$ 06676"; "Codeword Tester: Camshaft Control (Bank 2)"; "1x1"
"$ 06678"; "Codeword Tester: Camshaft Control Valve Power Amplifier"; "1x1"
"$ 0667A"; "Codeword Tester: Camshaft Control Valve Endst. Bank 2"; "1x1"
"$ 0667C"; "Codeword Tester: Phase Sensor"; "1x1"
"$ 0667E"; "Codeword Tester: Phase Sensor Bank 2"; "1x1"
"$ 06680"; "Codeword Tester: LR adaptation additively per time"; "1x1"
"$ 06682"; "Codeword Tester: LR adaptation additively per time bank 2"; "1x1"
"$ 06684"; "Codeword Tester: LR adaptation additively per ignition"; "1x1"
"$ 06686"; "Codeword Tester: LR adaptation additively per ignition bank 2"; "1x1"
"$ 06688"; "Codeword Tester: secondary air pump (power amplifier)"; "1x1"
"$ 0668A"; "Codeword Tester: Secondary Air System"; "1x1"
"$ 0668C"; "Codeword Tester: Secondary Air System, Bank 2"; "1x1"
"$ 0668E"; "Codeword Tester: Secondary Air Valve"; "1x1"
"$ 06690"; "Codeword Tester: Secondary Air Valve, Bank 2"; "1x1"
"$ 06692"; "Codeword Tester: Secondary Air Valve (Power Amplifier)"; "1x1"
"$ 06694"; "Codeword Tester: Auto Startup"; "1x1"
"$ 06696"; "Codeword Tester: Auto-Start (Power)"; "1x1"
"$ 06698"; "Codeword Tester: Start Signal"; "1x1"
"$ 0669A"; "Codeword Tester: Acceleration Sensor Bad."; "1x1"
"$ 0669C"; "Codeword Tester: TANS"; "1x1"
"$ 0669E"; "Codeword Tester: Tank Bleeding System"; "1x1"
"$ 066A0"; "Codeword Tester: tank venting system, line blocked"; "1x1"
"$ 066A2"; "Codeword Tester: Tank Bleeding System Fine Leak"; "1x1"
"$ 066A4"; "Codeword Tester: Tank Bleeding System Microstuff"; "1x1"
"$ 066A6"; "Codeword Tester: Tank Vent Valve"; "1x1"
"$ 066A8"; "Codeword Tester: Tank Bleeder Valve Power Bank 2"; "1x1"
"$ 066AA"; "Codeword Tester: Temperature Chiller Output"; "1x1"
"$ 066AC"; "Codeword Tester: TMOT"; "1x1"
"$ 066AE"; "Codeword Tester: Ambient Temperature TUM"; "1x1"
"$ 066B0"; "Codeword Tester: UB"; "1x1"
"$ 066B2"; "Codeword Tester: Function Monitoring: Torque Comparison"; "1x1"
