LNAME,JOBNAME,MEAS,TELEGRAM
B_NSUB (N-Anheb. niedr. UBatt), , ,B812F103224001
B_KO                          , , ,B812F103224002
S_BRS                         , , ,B812F103224002
S_BLS                         , , ,B812F103224002
B_KUPPL                       , , ,B812F103224002
B_ESTART                      , , ,B812F103224002
B_KL15                        , , ,B812F103224002
Adaption abgeschlossen (LL)   , , ,B812F103224003
B_HSHE                        , , ,B812F103224005
B_HSHE2                       , , ,B812F103224005
B_HSVE                        , , ,B812F103224005
B_HSVE2                       , , ,B812F103224005
B_LR                          , , ,B812F103224007
B_LR2                         , , ,B812F103224007
B_SBBVK                       , , ,B812F103224007
B_SBBVK2                      , , ,B812F103224007
B_SBBHK                       , , ,B812F103224007
B_SBBHK2                      , , ,B812F103224007
B_VL                          , , ,B812F103224007
B_LL                          , , ,B812F103224007
B_UMAERF                      , , ,B812F103224007
B_SA                          , , ,B812F103224007
B_TEHB                        , , ,B812F103224007
B_EWS_OK                      , , ,B812F103224007
B_PN                          , , ,B812F103224007
B_NOKATFZG                    , , ,B812F10330A801
L_FGR                         , , ,B812F1022107
B_FGRTVE                      , , ,B812F1022107
B_FGRHSA                      , , ,B812F1022107
B_FGRTSE                      , , ,B812F1022107
B_FGRAT                       , , ,B812F1022107
B_FGRTWA                      , , ,B812F1022107
B_FGRTBE                      , , ,B812F1022107
B_CDLSV                       , , ,B812F1022105
B_CDAGR                       , , ,B812F1022105
B_CDSLS                       , , ,B812F1022105
B_CDHSV                       , , ,B812F1022105
B_CDTES                       , , ,B812F1022105
B_HSRDY                       , , ,B812F1022105
B_TESRDY                      , , ,B812F1022105
B_SLSRDY                      , , ,B812F1022105
B_LSRRDY                      , , ,B812F1022105
B_KATRDY                      , , ,B812F1022105
B_AGRRDY                      , , ,B812F1022105
S_LDPR                        , , ,B812F103224002
B_LDPEIN                      , , ,B812F103224005
B_SLP                         , , ,B812F103224005
B_STA                         , , ,B812F103224005
B_EBL                         , , ,B812F103224005
B_KOE                         , , ,B812F103224005
B_EKP                         , , ,B812F103224005
B_SLV                         , , ,B812F103224005
B_ETR                         , , ,B812F103224005
B_AKR                         , , ,B812F103224005
B_ASC_PKW                     , , ,B812F10330A801
B_ACC                         , , ,B812F10330A801
B_AUTGET                      , , ,B812F10330A801
Vanos1 tightness              ,DICHT_1, ,B812F1022114
Vanos2 tightness              ,DICHT_2, ,B812F1022114
Vanos1 angle          ,VANOS1_IST,GradKW,B812F1022114
Vanos2 angle         ,VANOS2_IST,GradKW,B812F1022114
Adjustment time check Vanos1     ,Verstellzeitpruef. Vanos1, ,B812F1022113
Adjustment time check Vanos2     ,Verstellzeitpruef. Vanos2, ,B812F1022113
VANOS early timing NW1         ,FRUEH_NW1,sec,B812F1022113
VANOS early timing NW2          ,FRUEH_NW2,sec,B812F1022113
VANOS delay timing NW1         ,SPAET_NW1,sec,B812F1022113
VANOS delay timing NW2         ,SPAET_NW2,sec,B812F1022113
DNSLBV                        ,Abgleichwert , ,B812F10330A101
DNLLMV                        ,Abgleichwert , ,B812F10330A101
DNFSACMV                      ,Abgleichwert , ,B812F10330A101
DNSACMV                       ,Abgleichwert , ,B812F10330A101
DNFSMV                        ,Abgleichwert , ,B812F10330A101
