time;Intake temp.          ;Throttle pos.                     ;Injection time             ;Vehicle speed       ;Coolant temp.     ;Lambdaintegrator 1                 ;Lambdaintegrator 2                 ;Air mass                     ;Load                         ;Current RPM                 ;Target RPM               ;Engine temp.               ;Pedal pos.                  ;Battery voltage                         ;camshaft position bank 1;camshaft position bank 2;Ignition angle              ;Knock sensor Cyl.1;Knock sensor Cyl.2;Knock sensor Cyl.3;Knock sensor Cyl.4;Knock sensor Cyl.5;Knock sensor Cyl.6;Knock sensor Cyl.7;Knock sensor Cyl.8;Lambdasondenspannung n Kat    ;Lambdasondenspannung n Kat 2  
25234;36;2.74512;3.312;0;31.5;0.999424;0.999424;17.8;7.47844;634.25;640;60.75;0.781248;13.49;-0.1092;0.1092;9.75;0.820302;1.01561;0.820302;0.97655;1.17186;1.05467;0.859364;0.820302;6.2487;6.2487
25405;36;2.74512;3.248;0;31.5;0.999424;0.999424;17.9;7.43724;634.75;640;60.75;0.781248;13.965;0.078;-0.0234;9.75;0.820302;1.05467;0.937488;0.97655;1.21092;1.09374;0.937488;0.898426;6.2487;6.2487
25688;36;2.74512;3.248;0;31.5;0.999424;0.999424;17.9;7.43724;634.75;640;60.75;0.781248;13.965;0.078;-0.0234;9.75;0.820302;1.05467;0.937488;0.97655;1.21092;1.09374;0.937488;0.898426;6.2487;6.2487
27170;36;2.74512;3.216;0;31.5;0.999424;0.999424;17.7;7.77446;631.75;640;61.5;0.781248;13.965;-0.0624;0.0117;11.25;0.859364;1.01561;0.937488;0.937488;1.21092;1.09374;0.820302;1.01561;6.2487;6.2487
27265;36;2.74512;3.216;0;31.5;0.999424;0.999424;17.7;7.77446;631.75;640;61.5;0.781248;13.965;-0.0624;0.0117;11.25;0.859364;1.01561;0.937488;0.937488;1.21092;1.09374;0.820302;1.01561;6.2487;6.2487
27403;36;2.74512;3.216;0;31.5;0.999424;0.999424;17.8;8.01861;627.25;640;61.5;0.781248;13.775;0.195;0.1209;12;0.898426;1.01561;1.05467;1.01561;1.28905;1.01561;0.820302;0.937488;6.2487;6.2487
27497;36;2.74512;3.216;0;31.5;0.999424;0.999424;17.8;8.01861;627.25;640;61.5;0.781248;13.775;0.195;0.1209;12;0.898426;1.01561;1.05467;1.01561;1.28905;1.01561;0.820302;0.937488;6.2487;6.2487
27781;36;2.74512;3.232;0;31.5;0.999424;0.999424;18.3;8.07506;628.25;640;61.5;0.786131;13.965;0.0702;0.2106;12;0.937488;1.05467;1.05467;1.01561;1.24998;0.97655;0.859364;0.937488;6.2487;6.2487
29449;36;2.74512;3.232;0;31.5;0.999424;0.999424;18.3;8.07506;628.25;640;61.5;0.786131;13.965;0.0702;0.2106;12;0.937488;1.05467;1.05467;1.01561;1.24998;0.97655;0.859364;0.937488;6.2487;6.2487
29881;36;2.74512;3.168;0;31.5;0.999424;0.999424;17.6;7.81719;634;640;61.5;0.781248;13.87;0.1092;-0.0546;11.25;0.898426;1.01561;1.01561;0.937488;1.24998;1.01561;0.937488;1.01561;6.2487;6.2487
29977;36;2.74512;3.168;0;31.5;0.999424;0.999424;17.6;7.81719;634;640;61.5;0.781248;13.87;0.1092;-0.0546;11.25;0.898426;1.01561;1.01561;0.937488;1.24998;1.01561;0.937488;1.01561;6.2487;6.2487
30666;36;2.74512;3.184;0;31.5;0.999424;0.999424;18.1;7.69969;637;640;61.5;0.781248;13.965;0.273;0.0975;10.5;0.820302;1.05467;0.97655;0.937488;1.24998;1.01561;0.937488;0.937488;6.2487;6.2487
31483;36;2.74512;3.184;0;31.5;0.999424;0.999424;18.1;7.69969;637;640;61.5;0.781248;13.965;0.273;0.0975;10.5;0.820302;1.05467;0.97655;0.937488;1.24998;1.01561;0.937488;0.937488;6.2487;6.2487
32243;36;2.74512;3.184;0;31.5;0.999424;0.999424;18.2;7.72105;636;640;61.5;0.781248;13.965;0.1599;0.1053;10.5;0.898426;0.97655;1.01561;0.97655;1.1328;1.05467;0.859364;0.859364;6.2487;6.2487
32621;36;2.74512;3.184;0;31.5;0.999424;0.999424;18.2;7.72105;636;640;61.5;0.781248;13.965;0.1599;0.1053;10.5;0.898426;0.97655;1.01561;0.97655;1.1328;1.05467;0.859364;0.859364;6.2487;6.2487
33206;36;2.74512;3.2;0;31.5;0.999424;0.999424;17.9;7.85228;633.25;640;61.5;0.781248;13.775;0.2145;0.0507;11.25;0.859364;1.09374;0.820302;1.01561;1.17186;1.1328;0.859364;0.937488;6.2487;6.2487
33811;36;2.74512;3.2;0;31.5;0.999424;0.999424;17.9;7.85228;633.25;640;61.5;0.781248;13.775;0.2145;0.0507;11.25;0.859364;1.09374;0.820302;1.01561;1.17186;1.1328;0.859364;0.937488;6.2487;6.2487
33954;36;2.74512;3.2;0;31.5;0.999424;0.999424;18.3;7.99266;632.75;640;61.5;0.781248;13.87;0.0858;0.0741;12;0.898426;1.01561;0.937488;0.898426;1.1328;0.937488;0.859364;1.01561;6.2487;6.2487
34071;36;2.74512;3.2;0;31.5;0.999424;0.999424;18.3;7.99266;632.75;640;61.5;0.781248;13.87;0.0858;0.0741;12;0.898426;1.01561;0.937488;0.898426;1.1328;0.937488;0.859364;1.01561;6.2487;6.2487
34553;36;2.74512;3.184;0;31.5;0.999424;0.999424;17.9;7.86144;638.75;640;61.5;0.786131;13.965;0.0039;0.1092;10.5;0.859364;0.97655;0.97655;0.937488;1.17186;0.898426;0.859364;0.97655;6.2487;6.2487
34662;36;2.74512;3.184;0;31.5;0.999424;0.999424;17.9;7.86144;638.75;640;61.5;0.786131;13.965;0.0039;0.1092;10.5;0.859364;0.97655;0.97655;0.937488;1.17186;0.898426;0.859364;0.97655;6.2487;6.2487
34798;36;2.74512;3.216;0;31.5;0.999424;0.999424;17.9;7.82939;636.25;640;61.5;0.781248;13.49;0.1287;0.0546;11.25;0.898426;1.05467;1.05467;0.937488;1.1328;0.97655;0.898426;0.937488;6.2487;6.2487
35501;36;2.74512;3.216;0;31.5;0.999424;0.999424;17.9;7.82939;636.25;640;61.5;0.781248;13.49;0.1287;0.0546;11.25;0.898426;1.05467;1.05467;0.937488;1.1328;0.97655;0.898426;0.937488;6.2487;6.2487
36019;36;2.74512;3.216;0;31.5;0.999424;0.999424;18.4;7.55321;639.75;640;61.5;0.781248;13.775;0.078;0.1794;9.75;0.859364;1.01561;1.09374;0.898426;1.09374;1.05467;0.898426;0.937488;6.2487;6.2487
36535;36;2.74512;3.216;0;31.5;0.999424;0.999424;18.4;7.55321;639.75;640;61.5;0.781248;13.775;0.078;0.1794;9.75;0.859364;1.01561;1.09374;0.898426;1.09374;1.05467;0.898426;0.937488;6.2487;6.2487
36848;36;2.74512;3.216;0;31.5;0.999424;0.999424;18.1;7.74242;636.25;640;62.25;0.781248;13.965;0.1833;0.1872;10.5;0.859364;0.937488;1.1328;0.937488;1.21092;1.09374;0.898426;0.97655;6.2487;6.2487
37150;36;2.74512;3.216;0;31.5;0.999424;0.999424;18.1;7.74242;636.25;640;62.25;0.781248;13.965;0.1833;0.1872;10.5;0.859364;0.937488;1.1328;0.937488;1.21092;1.09374;0.898426;0.97655;6.2487;6.2487
37471;36;3.13728;3.232;0;31.5;0.999424;0.999424;18.4;8.17882;630.5;640;62.25;0.786131;13.68;0.1248;-0.0039;12.75;0.820302;1.09374;1.01561;0.859364;1.09374;1.1328;0.859364;0.97655;6.2487;6.2487
37801;36;3.13728;3.232;0;31.5;0.999424;0.999424;18.4;8.17882;630.5;640;62.25;0.786131;13.68;0.1248;-0.0039;12.75;0.820302;1.09374;1.01561;0.859364;1.09374;1.1328;0.859364;0.97655;6.2487;6.2487
38055;36;3.52944;3.36;0;31.5;0.999424;0.999424;21.8;9.10962;651.5;640;62.25;1.26953;13.68;-0.1404;0.0585;18;0.820302;1.01561;0.937488;0.859364;1.09374;1.21092;0.859364;0.898426;6.2487;6.2487
38505;36;3.52944;3.36;0;31.5;0.999424;0.999424;21.8;9.10962;651.5;640;62.25;1.26953;13.68;-0.1404;0.0585;18;0.820302;1.01561;0.937488;0.859364;1.09374;1.21092;0.859364;0.898426;6.2487;6.2487
38906;35.25;6.66672;4.544;0;31.5;0.999424;0.999424;39;14.9721;1176.5;1060;62.25;1.59668;13.965;19.9134;20.7987;25.5;1.28905;1.24998;1.01561;1.05467;1.32811;1.24998;1.01561;1.01561;6.2487;6.2487
39280;35.25;6.66672;4.544;0;31.5;0.999424;0.999424;39;14.9721;1176.5;1060;62.25;1.59668;13.965;19.9134;20.7987;25.5;1.28905;1.24998;1.01561;1.05467;1.32811;1.24998;1.01561;1.01561;6.2487;6.2487
39667;35.25;5.8824;3.904;0;31.5;0.999424;0.999424;34.9;13.6507;931.5;970;62.25;1.54297;13.775;11.31;9.2391;30;2.73434;1.6406;1.09374;1.28905;1.48436;2.03122;1.17186;1.1328;6.2487;6.2487
39759;35.25;5.8824;3.904;0;31.5;0.999424;0.999424;34.9;13.6507;931.5;970;62.25;1.54297;13.775;11.31;9.2391;30;2.73434;1.6406;1.09374;1.28905;1.48436;2.03122;1.17186;1.1328;6.2487;6.2487
39956;35.25;7.8432;5.216;0;31.5;0.999424;0.999424;47.4;13.9025;763.5;800;62.25;1.6455;13.965;4.7268;3.8883;21.75;2.57809;1.56248;1.1328;1.24998;1.44529;2.2656;1.1328;1.09374;6.2487;6.2487
40169;35.25;7.8432;5.216;0;31.5;0.999424;0.999424;47.4;13.9025;763.5;800;62.25;1.6455;13.965;4.7268;3.8883;21.75;2.57809;1.56248;1.1328;1.24998;1.44529;2.2656;1.1328;1.09374;6.2487;6.2487
40456;35.25;8.23536;7.008;2.5;31.5;0.999424;0.999424;49.3;20.1983;822.5;730;62.25;1.6455;13.965;6.4545;4.6761;23.25;2.42184;1.48436;1.05467;1.17186;1.32811;2.18747;1.01561;1.01561;6.2487;6.2487
